title,season,episodenumber,episodename,rating
Seinfeld,7,19,The Calzone,9.0
Seinfeld,7,20,The Bottle Deposit,8.9
Seinfeld,7,21,The Wait Out,8.3
Seinfeld,7,22,The Invitations,8.8
Seinfeld,8,1,The Foundation,8.3
Seinfeld,8,2,The Soul Mate,8.2
Seinfeld,8,3,The Bizarro Jerry,9.2
Seinfeld,8,4,The Little Kicks,9.0
Seinfeld,8,5,The Package,8.8
Seinfeld,8,6,The Fatigues,8.1
Seinfeld,8,7,The Checks,8.3
Seinfeld,8,8,The Chicken Roaster,9.0
Seinfeld,8,9,The Abstinence,9.1
Seinfeld,8,10,The Andrea Doria,8.6
Seinfeld,8,11,The Little Jerry,8.3
Seinfeld,8,12,The Money,7.9
Seinfeld,8,13,The Comeback,8.6
Seinfeld,8,14,The Van Buren Boys,8.2
Seinfeld,8,15,The Susie,8.8
Seinfeld,8,16,The Pothole,8.8
Seinfeld,8,17,The English Patient,8.7
Seinfeld,8,18,The Nap,8.9
Seinfeld,8,19,The Yada Yada,8.9
Seinfeld,8,20,The Millennium,8.2
Seinfeld,8,21,The Muffin Tops,8.5
Seinfeld,8,22,The Summer of George,8.6
Seinfeld,9,1,The Butter Shave,8.5
Seinfeld,9,2,The Voice,8.4
Seinfeld,9,3,The Serenity Now,8.9
Seinfeld,9,4,The Blood,8.4
Seinfeld,9,5,The Junk Mail,8.1
Seinfeld,9,6,The Merv Griffin Show,9.2
Seinfeld,9,7,The Slicer,8.6
Seinfeld,9,8,The Betrayal,8.9
Seinfeld,9,9,The Apology,8.3
Seinfeld,9,10,The Strike,8.8
Seinfeld,9,11,The Dealership,8.7
Seinfeld,9,12,The Reverse Peephole,8.3
Seinfeld,9,13,The Cartoon,8.0
Seinfeld,9,14,The Strongbox,7.9
Seinfeld,9,15,The Wizard,8.0
Seinfeld,9,16,The Burning,8.4
Seinfeld,9,17,The Bookstore,8.3
Seinfeld,9,18,The Frogger,8.9
Seinfeld,9,19,The Maid,8.2
Seinfeld,9,20,The Puerto Rican Day,8.1
Seinfeld,9,21,The Chronicle,7.7
Seinfeld,9,22,The Finale,7.5
